日期,广告形式,产品,展现量,点击量,点击率,总加购数,转化率,ROI,总订单行,总订单金额,总费用,是否为钻展广告,是否为超级推荐广告,是否为直通车广告,是否为品销宝广告,点击率/转化率,销售额/ROI,点击量/展现量,加购数/点击量,订单数/加购数
2020-12-13,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-14,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-15,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-16,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-17,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-18,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-19,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-20,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-21,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-22,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-23,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-24,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-25,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-26,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-27,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-28,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-29,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-30,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-31,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-01,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-02,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-06,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-07,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-08,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-09,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-12,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-13,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-14,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-15,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-17,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-18,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-19,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-20,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-21,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-22,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-23,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-24,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-25,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-26,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-27,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-28,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-29,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-30,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-01-31,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-02-01,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-02-04,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-02-05,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-02-06,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-02-07,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-02-22,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-02-23,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-02-24,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-02-25,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-02-26,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2021-02-27,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-11-01,超级推荐,nan,181763,2851,1.5685260476554634,159,1.578393546124167,3.759461518376436,45,52409.45000000001,13940.68,0,1,0,0,0.9937483915257169,13940.68,0.015685260476554636,0.055769905296387236,3.533333333333333
2020-11-02,超级推荐,nan,178742,1676,0.9376643430195477,79,1.4916467780429594,2.398705737093541,25,17076.649999999998,7119.11,0,1,0,0,0.6286101755603047,7119.11,0.009376643430195477,0.04713603818615752,3.16
2020-11-03,超级推荐,nan,234616,2116,0.9018992737068231,75,0.8506616257088847,1.9241964059731718,18,16573.45,8613.179999999998,0,1,0,0,1.0602327017575766,8613.179999999998,0.009018992737068231,0.03544423440453686,4.166666666666667
2020-11-04,超级推荐,nan,205568,1423,0.6922283623910336,60,0.07027406886858749,0.0637731955555786,1,369.0,5786.129999999999,0,1,0,0,9.850409596824408,5786.13,0.006922283623910336,0.0421644413211525,60.0
2020-11-05,超级推荐,nan,195573,1690,0.8641274613571402,75,0.1183431952662722,0.8693970731297845,2,5800.0,6671.29,0,1,0,0,7.301877048467834,6671.29,0.008641274613571403,0.04437869822485207,37.5
2020-11-06,超级推荐,nan,271727,2480,0.912680742068326,107,0.0,0.0,0,0.0,10706.079999999998,0,1,0,0,0.0,0.0,0.00912680742068326,0.04314516129032258,0.0
2020-11-07,超级推荐,nan,207400,2497,1.203953712632594,159,0.24028834601521826,0.030615506249264055,6,364.0,11889.399999999998,0,1,0,0,5.010454034072646,11889.399999999998,0.01203953712632594,0.06367641169403283,26.5
2020-11-08,超级推荐,nan,228679,2751,1.2029963398475592,148,0.1817520901490367,0.08795480543752572,5,1201.0,13654.74,0,1,0,0,6.618885861841271,13654.74,0.012029963398475592,0.05379861868411487,29.6
2020-11-09,超级推荐,nan,140813,2201,1.5630659101077315,142,1.8627896410722398,3.5489605130147392,41,39636.52999999999,11168.490000000002,0,1,0,0,0.8390995288163701,11168.490000000002,0.015630659101077315,0.06451612903225806,3.4634146341463414
2020-11-10,超级推荐,nan,142585,2516,1.7645614896377602,210,3.7758346581875997,8.092735378264488,95,102764.70999999999,12698.39,0,1,0,0,0.46733017978195834,12698.390000000001,0.0176456148963776,0.0834658187599364,2.210526315789474
2020-11-11,超级推荐,nan,302390,4190,1.385627831608188,217,1.8377088305489258,4.591288526391639,77,92836.91,20220.229999999996,0,1,0,0,0.7539974823945855,20220.229999999996,0.01385627831608188,0.05178997613365155,2.8181818181818183
2020-11-12,超级推荐,nan,144879,1124,0.7758198220584074,62,0.26690391459074736,1.1619387201172322,3,3917.0,3371.0899999999997,0,1,0,0,2.9067382666454993,3371.0899999999997,0.007758198220584074,0.05516014234875445,20.666666666666668
2020-11-13,超级推荐,nan,216911,1371,0.6320564655549972,50,0.2188183807439825,0.47446952405106096,3,1347.0,2838.96,0,1,0,0,2.888498047586337,2838.96,0.006320564655549972,0.03646973012399708,16.666666666666668
2020-11-14,超级推荐,nan,286910,1571,0.5475584678122059,87,0.19096117122851686,1.7100630753389603,3,5547.0,3243.7400000000007,0,1,0,0,2.8673811764432515,3243.7400000000007,0.005475584678122059,0.05537873965626989,29.0
2020-11-15,超级推荐,nan,334383,1744,0.5215576150701441,76,0.286697247706422,2.4191163787792918,5,7854.0,3246.6400000000003,0,1,0,0,1.8191929613646625,3246.64,0.005215576150701441,0.04357798165137615,15.2
2020-11-16,超级推荐,nan,431519,1727,0.4002141273037804,89,0.11580775911986102,1.1348006560181665,2,3688.0,3249.9100000000003,0,1,0,0,3.4558489892681443,3249.9100000000003,0.004002141273037804,0.05153445280833816,44.5
2020-11-17,超级推荐,nan,361996,1694,0.4679609719444414,78,0.47225501770956313,7.4129752972182255,8,24274.01,3274.53,0,1,0,0,0.9909073580923548,3274.53,0.004679609719444414,0.04604486422668241,9.75
